chr10:100163602-100164102	0.322098	2.13605	4.22489	3.0227	7.6149	3.81645	0	11.3361
chr10:100168550-100169050	0.375782	1.27664	3.33086	3.49363	12.0501	3.40763	0	9.71912
chr10:102098132-102098632	0.295257	1.09757	3.1166	0.740121	13.4778	5.72555	0	6.38038
chr10:103595661-103596161	0.161049	0.0402913	2.62098	2.50186	12.8077	2.95388	0	5.40048
chr10:103649305-103649805	0.322098	2.46746	4.02489	3.80819	10.2326	5.10147	0	8.15266
chr10:103991440-103991940	0.34894	0.0142436	0.337706	0.881246	8.19722	7.46268	0.011749	2.78206
chr10:104169463-104169963	0.134208	1.29897	0.724384	0.776677	18.969	7.7998	0	6.68283
chr10:104263915-104264415	0.107366	0.320196	3.6469	0.266809	8.16044	3.16472	0.0667913	4.91385
chr10:104871791-104872291	0.644197	2.40386	4.44616	3.53808	9.07598	3.81538	0	8.96797
chr10:105245384-105245884	0.402623	0.444202	2.32719	0.905723	13.9417	7.06424	0	3.75695
chr10:11482729-11483229	0.161049	1.43754	4.18252	1.87025	12.4079	5.64555	0	7.60551
chr10:115559266-115559766	0.268415	0.254726	3.79777	3.4312	10.5491	8.02707	0	5.96154
chr10:12090398-12090898	0.295257	0.0669127	3.13999	2.3984	13.2774	6.22091	0	5.79972
chr10:124802825-124803325	0.214732	0.285993	3.28423	2.39182	16.2612	6.49422	0	6.96834
chr10:126429223-126429723	0.214732	1.26854	3.35316	2.17295	10.96	8.66441	0	7.6209
chr10:13222757-13223257	0.268415	2.64206	2.96502	2.05991	12.1663	6.50319	0	9.41563
chr10:135089233-135089733	0.268415	0.152822	2.58045	0.204033	11.957	4.69799	0.00866434	2.9738
chr10:15148292-15148792	0.295257	2.35699	2.99305	1.50235	12.8943	6.37584	0	6.42151
chr10:22540803-22541303	0.295257	1.03499	8.72254	1.52551	8.29489	6.71406	0.10807	7.93882
chr10:23358001-23358501	0.268415	1.42609	2.04645	3.27151	12.8797	4.10765	0	8.1203
chr10:33297584-33298084	0.295257	1.64502	5.05331	2.09633	15.1531	9.26306	0	9.70578
chr10:35507345-35507845	0.295257	0.970026	2.0457	1.21344	13.6533	7.14539	0	9.10974
chr10:45470873-45471373	0.241574	0.0105004	4.92022	0.660555	12.9659	5.93124	0.206549	3.54884
chr10:49514733-49515233	0.107366	0.376305	1.25482	0.265074	7.26939	2.03857	0.0331701	2.23941
chr10:49879525-49880025	0.34894	0.290471	2.54141	0.936017	7.94808	8.08394	0	2.08179
chr10:6056084-6056584	0.268415	2.21375	2.28421	3.09709	14.6857	5.88178	0	9.39417
chr10:61385750-61386250	0.322098	2.52939	4.45507	2.47107	9.29603	6.22418	0	8.81678
chr10:6150867-6151367	0.375782	0.713111	5.52003	1.27087	9.82178	5.55695	0.00691444	8.63244
chr10:64917795-64918295	0.295257	2.77591	2.94136	4.81026	11.7677	4.90158	0	9.19407
chr10:67650986-67651486	0.295257	2.68756	3.8917	3.38166	14.72	5.87927	0	12.2887
chr10:69539595-69540095	0.322098	1.16091	3.79237	1.11599	10.9783	6.80578	0.0176909	7.44513
chr10:69548128-69548628	0.268415	0.140057	3.82907	1.18413	8.87133	6.51321	0	4.40902
chr10:70459149-70459649	0.402623	4.23819	2.6432	4.21397	13.2325	4.67342	0.243996	8.60985
chr10:72254608-72255108	0.134208	1.91797	3.07246	0.625727	10.7732	7.09675	0	4.52823
chr10:73933619-73934119	0.268415	2.11375	2.69733	3.76445	9.51085	3.78056	0	7.7575
chr10:74080371-74080871	0.402623	0.927596	2.93276	3.36107	10.8905	5.1391	0	2.98601
chr10:74397196-74397696	0.241574	1.86727	3.50064	3.67914	11.5494	4.83657	0	7.36386
chr10:76772186-76772686	0.402623	0.0348451	3.01342	1.64967	14.969	6.8857	0.0101092	4.25728
chr10:8090555-8091055	0.268415	1.08116	4.17382	1.31496	8.25624	8.38837	0.0139824	3.80817
chr10:85965279-85965779	0.322098	0.396735	3.00594	1.3553	10.4356	4.43219	0.081877	7.94632
chr10:88160127-88160627	0.134208	0.00437187	0.546081	0.303217	8.88316	4.52763	0.02808	1.96562
chr10:88542763-88543263	0.590514	1.69236	5.39029	5.86283	12.7057	4.7602	0	12.1475
chr10:88844106-88844606	0.34894	2.4723	4.55307	7.12341	12.2112	5.8036	0	11.1963
chr10:89382023-89382523	0.268415	1.15506	1.7751	3.4073	14.7622	4.69525	0	8.97316
chr10:90312908-90313408	0.268415	3.32156	4.04092	3.40718	14.6062	6.20771	0	9.18673
chr10:90522655-90523155	0.268415	3.69026	6.1062	4.07519	10.1422	4.60978	0	10.691
chr10:91127210-91127710	0.187891	1.79445	2.69386	2.35458	13.1695	5.24867	0	7.21569
chr10:91127225-91127725	0.187891	1.79395	2.55666	2.39326	13.914	4.53635	0	7.10982
