chr10:102046093-102046593	23	0.0710238	0.64916	0.0239161	0.012258	0.181989
chr10:102289293-102289793	20	0.621493	0.344835	0.988831	0.00225807	0.0048514
chr10:103577154-103577654	21	0.77873	0.282186	0.00164069	0.000706983	0.0148203
chr10:103577939-103578439	41	0.0156471	0.103528	0.0526108	0.00492728	0.244116
chr10:103600807-103601307	31	0.0301497	0.280695	0.00121116	0.986232	0.00185457
chr10:103985889-103986389	5	0.155966	0.531464	0.0888224	0.416521	0.016862
chr10:104262006-104262506	42	0.0178555	1.2772	0.0947081	0.00123002	0.0180775
chr10:104263915-104264415	24	0.0153952	0.0418664	0.0251304	0.000200992	0.00666301
chr10:104407300-104407800	11	0.0116663	0.517419	0.00559109	0.00137404	0.00153136
chr10:104438705-104439205	6	0.00633324	0.378991	0.00589709	0.00099609	0.000868332
chr10:105880576-105881076	18	0.028398	0.206447	0.00167551	0.00118169	0.0017789
chr10:112680302-112680802	16	0.0461561	0.242142	0.000320138	0.000638996	3.27492e-05
chr10:122702320-122702820	4	0.0405124	0.402712	0.00207013	0.00045039	0.0036302
chr10:124639056-124639556	65	1.11931	0.899019	0.00175084	0.00794079	0.00507092
chr10:124671332-124671832	51	0.197718	0.859432	0.00158748	2.1394	0.00063383
chr10:127589844-127590344	25	0.0303779	0.245357	0.00153598	0.000575586	0
chr10:127591050-127591550	21	0.0790847	0.124138	9.8219e-05	0.00239739	0.000192476
chr10:135121295-135121795	29	0.0737607	0.294744	0.00537573	0.00763421	0.00560399
chr10:14920639-14921139	69	0.100844	0.154818	1.00385	0.00146869	0.547831
chr10:18948730-18949230	19	0.0400423	0.137127	9.70027e-05	7.61394e-05	0.00125329
chr10:22624096-22624596	13	0.108223	0.846416	0.399103	0.00298512	0.0743553
chr10:25013220-25013720	25	0.0463153	0.0923387	0.00241931	0.00178659	0.00192726
chr10:25304818-25305318	42	0.0167561	1.85675	0.000194365	0.00238859	0.00240958
chr10:27257980-27258480	5	0.0721364	1.5146	0.000979389	0.000376469	0.000133273
chr10:27259558-27260058	7	0.015152	0.0340874	6.22637e-05	0.000212446	0.000189338
chr10:32218196-32218696	11	0.00761737	0.330241	0.116688	0.0233072	0.00826956
chr10:35125094-35125594	6	0.0352724	0.744491	0.00136504	0.0071997	0.00035153
chr10:38691408-38691908	24	0.046286	0.0972517	0.0547844	0.0452913	0.735964
chr10:43902525-43903025	16	0.163024	0.14198	0.0215481	0.00854701	0.0239251
chr10:43947443-43947943	14	0.0508258	0.129099	0.00109929	0.00078033	0.000634356
chr10:49514581-49515081	21	0.00522092	0.687046	0.410016	0.0409115	0.187748
chr10:5727238-5727738	25	0.0688529	0.918613	0.00475687	0.00525947	0.137393
chr10:60094552-60095052	19	0.02751	0.178245	0.601248	0.00465256	0.00615866
chr10:6193113-6193613	26	0.0136415	0.319988	0.00134977	0.00188947	0.00276432
chr10:69526934-69527434	4	0.0946715	0.221555	0.000302948	0.00198415	0.000275264
chr10:69548128-69548628	11	0.115583	0.168087	0.0061016	0.018016	0.0336671
chr10:70092402-70092902	22	0.0882578	1.16569	0.00320322	0.00153075	0.00265585
chr10:70849710-70850210	22	0.00841849	1.0867	0	0.0037067	0.00138452
chr10:70883315-70883815	30	0.017225	1.27294	0.00176239	0.00132573	0.0441622
chr10:71993136-71993636	34	0.0124158	0.123936	0.0299179	0.0040517	0.00236283
chr10:73610708-73611208	28	0.0905527	0.295374	0.00978653	0.0606087	0.0174473
chr10:73693336-73693836	4	0.193864	0.180823	0.0011526	0.000157028	0.00022053
chr10:74021374-74021874	15	0.0586739	0.136517	0.00384126	2.33814e-05	0.000464614
chr10:74044915-74045415	11	0.0101709	0.169206	0.00349127	0.000869577	0.000765349
chr10:74868892-74869392	3	0.00146503	0.022096	0.00290928	0.00546882	0.000442201
