chr10:100109091-100109591	1.13958	0.976928	1.00029	0	0.951961	2.47157	0.505209
chr10:1020000-1020500	5.29091	1.53898	1.70387	0	0.625064	2.9121	0.573629
chr10:102667442-102667942	0.841119	1.7064	1.69025	0	0.802117	3.27055	0.213633
chr10:103618469-103618969	0.135664	0	0	0	0.588336	0.556151	0.225915
chr10:103639859-103640359	1.00392	1.51192	1.62505	0	1.98326	2.31171	0.393244
chr10:103878582-103879082	1.08531	0.599396	0.715171	0	0	5.11729	1.40009
chr10:104238678-104239178	0.162797	0.139244	0.0869355	0	1.25449	3.29514	0.931048
chr10:104368184-104368684	1.87217	1.34245	1.37612	0	0.905547	3.30968	0.185
chr10:104406792-104407292	0.461259	0.435102	0.489771	0	0	5.59811	1.37143
chr10:104407300-104407800	1.41091	1.24396	1.39986	0	1.56169	5.26073	0.175643
chr10:104407309-104407809	1.41091	1.24396	1.39986	0	1.56169	5.26073	0.175643
chr10:104562871-104563371	0.108531	0.0219815	0.0144361	0	1.69496	3.70452	0.0339119
chr10:111756071-111756571	1.30238	0.93907	0.970884	0	2.29035	2.89497	0.0210434
chr10:112033809-112034309	1.05818	0.568773	0.617382	0	0.794343	2.04878	0.0276157
chr10:112288674-112289174	0.18993	0	0	0	0.562026	2.40309	0.608377
chr10:112605761-112606261	1.13958	1.29597	1.32965	0	0	3.23752	1.30448
chr10:112617345-112617845	1.60084	1.61162	1.47476	0	0	3.93763	0.946171
chr10:112617348-112617848	1.60084	1.61162	1.47476	0	0	3.93763	0.946665
chr10:112632206-112632706	0.135664	0.0351417	0.0297184	0	0	4.65374	0.0357837
chr10:112680302-112680802	1.13958	0.614128	0.717374	0	0.567429	1.06896	0.738321
chr10:115689231-115689731	1.51944	0.729229	0.696031	0	2.49976	2.23196	0.0608153
chr10:116168021-116168521	1.8179	1.08196	1.04596	0	1.70404	5.96266	1.83089
chr10:116685552-116686052	1.60084	1.08178	1.08613	0	3.73877	2.37904	0.393178
chr10:11928728-11929228	1.54657	1.10471	1.11177	0	0	5.25814	0.717395
chr10:12090398-12090898	0.786853	0.0931476	0.088867	0	1.77468	2.88038	0.781956
chr10:120966716-120967216	0.135664	0.0217598	0	0	0.805477	5.3504	0.305838
chr10:120981119-120981619	0.868252	0.207494	0.297162	0	0	0.660229	0.0326629
chr10:121561399-121561899	0.94965	0.845834	0.76591	0	0	1.80644	0.0343874
chr10:126329915-126330415	0.922517	0.46245	0.315489	0	0.965205	3.58295	0.0267076
chr10:126413083-126413583	0.94965	1.28927	1.37162	0	0.809194	3.66204	0.523965
chr10:129518368-129518868	1.03105	0.939661	0.948388	0	0.567803	4.36314	1.4568
chr10:134062156-134062656	0.135664	0	0.0529693	0	0.647606	1.95084	0.951012
chr10:135303224-135303724	4.12419	1.06234	1.17139	0	0	3.45333	0.369112
chr10:15033292-15033792	0.217063	0.0282156	0.0480232	0.712952	0.790688	2.83517	0.605699
chr10:22632997-22633497	0.108531	0.0219443	0.0513673	0	0	1.35717	0.0413211
chr10:23360829-23361329	0.298461	0.752583	0.597575	0	0	1.83566	0.600508
chr10:27181408-27181908	0.135664	0	0	0	0	3.7146	0.512539
chr10:29574394-29574894	1.57371	0.201075	0.241768	0	0.62521	1.42226	0.0203035
